name,address,city,state,latitude,longitude,stars,review_count,categories
Imsiam Thai Restaurant and Noodle,4105 W Sahara Ave,Las Vegas,NV,36.1440225,-115.19589599999999,4.5,66,"Thai, Noodles, Soup, Restaurants"
City of Las Vegas,495 S Main St,Las Vegas,NV,36.1674401,-115.14843459999999,4.0,202,"Education, Middle Schools & High Schools, Local Flavor, Specialty Schools, Tennis, Amateur Sports Teams, Professional Services, Gyms, Public Services & Government, Elementary Schools, Parks, Driving Schools, Fitness & Instruction, Golf, Lawyers, Active Life"
Heartland Town Centre,6075 Mavis Road,Mississauga,ON,43.611932509300004,-79.6955132112,4.0,44,"Shopping, Shopping Centers"
Shallow Groove Lounge,559 College Street,Toronto,ON,43.6551489,-79.412212,1.5,3,"Nightlife, Lounges, Bars"
New York Bagels 'N Bialys,10320 N Scottsdale Rd,Scottsdale,AZ,33.5796797,-111.92754440000002,4.0,307,"Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels"
Sacks Sandwiches - Hardy,839 W University Dr,Tempe,AZ,33.4212223787,-111.9516137633,4.0,100,"Fast Food, Sandwiches, Restaurants, American (New)"
Sienna Mercato,942 Penn Ave,Pittsburgh,PA,40.4439496,-79.9964366,4.0,752,"Cocktail Bars, Italian, American (New), Nightlife, Bars, Pizza, Restaurants"
Bishop Gorman High School,5959 S Hualapai Way,Las Vegas,NV,36.0813328,-115.31616509999998,3.0,10,"Education, Middle Schools & High Schools"
Kim Dinh,9570 McCowan Road,Markham,ON,43.892497636099996,-79.2917408422,3.0,61,"Vietnamese, Restaurants"
Hazel General Store,1250 Williamson St,Madison,WI,43.084408,-89.3628811,4.0,4,"Shopping, Flowers & Gifts, Arts & Crafts, Event Planning & Services, Home Decor, Home & Garden, Art Supplies, Cards & Stationery"
Fresh & Easy,3000 N Alma School Rd,Chandler,AZ,33.350169,-111.86019099999999,4.5,30,"Grocery, Shopping, Food, Florists, Flowers & Gifts, Convenience Stores"
Veterinary Emergency Clinic,117-920 Yonge St,Toronto,ON,43.6740354467,-79.3896922979,3.0,49,"Pet Services, Veterinarians, Pets, Emergency Pet Hospital"
Peppi's,12 Smithfield St,Pittsburgh,PA,40.436969,-80.0004543,4.0,37,"Restaurants, Sandwiches"
Superpumper,8646 E Frank Lloyd Wright Blvd,Scottsdale,AZ,33.631464,-111.89453400000001,4.0,5,"Food, Convenience Stores"
Thai Fusion Delight,"601 17 Avenue SW, Unit 105",Calgary,AB,51.0375463039,-114.07459968290001,4.5,30,"Restaurants, Thai"
AAA Mesa Office,4126 E Valley Auto Dr,Mesa,AZ,33.3826957,-111.7445616,4.0,64,"Insurance, Tours, Travel Services, Financial Services, Hotels & Travel"
Autozone,14760 N Northsight Blvd,Scottsdale,AZ,33.6198174,-111.89845249999999,4.5,33,"Automotive, Auto Parts & Supplies"
Le Peep,8140-100 Providence Rd,Charlotte,NC,35.096737,-80.77855799999999,3.5,134,"Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food"
Aliante Nature Discovery Park,2627 Nature Park D,North Las Vegas,NV,36.287422272600004,-115.1766943656,3.5,79,"Parks, Active Life, Playgrounds"
The Cove Trattoria,"7001 N Scottsdale Rd, Ste 184",Paradise Valley,AZ,33.5394631012,-111.924161911,4.0,170,"Pizza, Restaurants, Italian"
Gap Outlet,7400 Las Vegas Blvd S,Las Vegas,NV,36.054594,-115.16955,2.5,12,"Women's Clothing, Shopping, Men's Clothing, Outlet Stores, Fashion"
Pizzeria Bianco,4743 N 20th St,Phoenix,AZ,33.5073476,-112.03764609999999,3.5,579,"Tapas/Small Plates, Italian, Pizza, Restaurants"
Prince Restaurant,"6795 W Flamingo Rd, Ste A",Las Vegas,NV,36.1140708,-115.24092549999999,4.0,35,"American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
Go Pretzel,807 Liberty Ave,Pittsburgh,PA,40.442669200000005,-79.998918,3.5,13,"Restaurants, Fast Food"
The International Centre,6900 Airport Road,Mississauga,ON,43.701857000000004,-79.639824,3.0,19,"Hobby Shops, Venues & Event Spaces, Event Planning & Services, Shopping"
Buffalo Wild Wings,8870 E Indian Bend Rd,Scottsdale,AZ,33.5385580506,-111.8908726255,3.0,133,"Sports Bars, Nightlife, Chicken Wings, Restaurants, Bars, American (Traditional)"
Tavern In The Wall,211 Commercial Ave,Pittsburgh,PA,40.490387899999995,-79.9046284,3.5,28,"Nightlife, Restaurants, Bars, Burgers, Delis"
Kierland Commons,"15205 N Kierland Blvd, Ste 150",Scottsdale,AZ,33.6245326,-111.92886750000001,4.0,121,"Shopping, Outlet Stores, Shopping Centers"
Hayden Butte Preserve,E. Rio Salado Pkwy & S Mill Ave,Tempe,AZ,33.428247999999996,-111.93630900000001,4.5,45,"Parks, Active Life"
Showmars - Seventh Street,2004 E 7th St,Charlotte,NC,35.212005,-80.817991,3.0,37,"Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean"
Le Gourmand,152 Spadina Avenue,Toronto,ON,43.6481229,-79.39664090000001,4.0,214,"Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch"
24 Hour Fitness - Wigwam Henderson,2556 Wigwam Pkwy,Henderson,NV,36.035840442,-115.09868766700001,3.0,109,"Gyms, Trainers, Active Life, Fitness & Instruction"
Pyung Won House,5588 Yonge Street,North York,ON,43.77941,-79.415798,2.5,66,"Restaurants, Hot Pot, Korean, Asian Fusion"
Jules Cafe Patisserie,617 Mount Pleasant Road,Toronto,ON,43.7041655,-79.3882122,3.5,44,"Bakeries, Food, Mediterranean, French, Restaurants"
Kangaroo Express,2541 N Cherry Rd,Rock Hill,SC,34.9714276,-80.99060109999999,4.0,3,"Automotive, Convenience Stores, Gas Stations, Food"
Hampton Inn & Suites Phoenix Gilbert,3265 S Market St,Gilbert,AZ,33.2915794965,-111.7525863647,4.0,52,"Hotels & Travel, Hotels, Event Planning & Services"
