user_id,name,review_count,useful,funny,cool,fans
W7DHyQlY_kXls2iXt-_2Ag,Maggie,2830,89792,78184,83915,1051
NeXRy1C7PxS7bvIcQ3SymA,Shannon,2700,8744,4132,5574,289
hYWwocw-J4KdyGLrUlOYXA,Felicia,1798,3571,1611,2024,103
djxnI8Ux8ZYQJhiOQkrRhA,Abby,2158,24367,13152,18359,1443
WALNtcSZlONK4Yj-o3pzKA,Dan,2156,8979,7536,7336,553
0QeJC2inz6P-OVzROU_LNw,Tram,2467,19997,15521,18667,424
6JehEvdoCvZPJ_XIxnzIIw,Heather,1552,9375,3626,5285,464
nzsv-p1O8gCfP3XijfQrIw,Anita,4065,23653,11811,18747,706
UKU5x7fgNWzzdpCh3PqS0A,Canny,1589,1389,416,431,94
ITa3vh5ERI90G_WP4SmGUQ,Peter,2939,41172,45625,31778,2086
eKUGKQRE-Ywi5dY55_zChg,Cherylynn,2190,78888,64172,65573,2434
G5LXEaxhQMF_BVjNHkVr7g,Nish,1889,12763,7036,11216,650
-x1516ZG5GllZiBjDQlRkA,Rachel,1499,9094,6142,7836,235
GHoG4X4FY8D8L563zzPX5w,Hannah,3956,28051,15649,21930,611
EJPBXvEdaodsPQuYBT6low,Bobby,1537,3076,1573,1431,133
UYcmGbelzRa0Q6JqzLoguw,Emily,1664,10550,5167,8840,219
uWhC9eof98zPkvsalgaqJw,Madelyn,2358,8339,4101,5784,151
cufhYFdyrUAt4SWe-m0grQ,Johnny,2246,25889,20487,19565,1137
CQUDh80m48xnzUkx-X5NAw,David,4027,20314,8669,14142,547
dIIKEfOgo0KqUfGQvGikPg,Gabi,1932,18380,8792,15349,894
TqEOK7uxaXj7SbJZKEktxw,Steve,1509,4359,2867,3663,67
EDBTE8HMO-iN5hAi9B382A,Cindy,2022,12966,7397,10566,434
ACUVZ4SiN0gni7dzVDm9EQ,Tiffany,2080,21165,11920,18854,789
Lr-B-r-KF80yFy-2u336bw,Eugene,1890,16084,11573,13985,414
qlC607Cyp0Mj91vDFvkp3Q,Nicole,1523,7735,3438,4671,402
cJCYCEfDL4n5TgU9y8RTWg,Allister,1644,3478,1358,2061,137
IU86PZPgTDCFwJEuAg2j7g,Danny,1976,21782,17322,17440,1165
y3FcL4bLy0eLlkb0SDPnBQ,Mel,1606,12403,8341,10183,178
wZPizeBxMAyOSl0M0zuCjg,Jess,4302,15324,4727,9505,404
ACwBMSJzgW6vOvV7vOrk8Q,Matthew,1692,6002,3091,5538,106
76vIFZcC7owykCBjMfGVXg,Amy,2443,6607,2480,3668,146
uZdFsE_aHbFBChgN6Xa8tw,Chris,1805,3261,1139,1706,109
taPq7IxYskEWH7Vfc261pQ,Danielle,2615,3966,1245,1696,149
rLCbMQmIuWnlI-IhIj51kQ,Ryan,1659,2376,543,1064,107
B7ecAeAIrXg7sgmabS38pg,Stephy,2606,24988,26001,23318,1357
pou3BbKsIozfH50rxmnMew,Brett,2192,17037,7965,10703,720
lufa4bHQd3XLYQE1zXis0g,Lisa,1886,6000,4026,4046,238
XCW5pJCDhvlW76XTSUEkIg,Ivy,1857,20835,16970,18837,199
R1FVpAyl_BtxHBWdau2VLg,Mark,2167,5113,1521,3170,99
CxDOIDnH8gp9KXzpBHJYXw,Jennifer,6314,20336,8823,12995,715
Ve0LUwcrzxL7w0RYgY4Aaw,Katy,1988,28151,13609,23082,1105
kKTcYPz47sCDH1_ylnE4ZQ,Pegah,2506,5665,3412,3476,206
Ma_gwnVShENgTuhHNpAvyQ,David,1717,2745,1055,1417,143
3lUkFxUQKeMUYH7-z_kmjg,Angela,1800,9257,4585,5463,150
orHVoIN1Oj_rK3KDqcGBIQ,D.,1524,2711,942,889,52
adKonsQWY64vJYglPotH5Q,Stefanie,1889,4696,2286,3458,182
nmdkHL2JKFx55T3nq5VziA,Nijole,7089,45394,23305,35978,750
3XzhO2aJdvVtYhKOCJsPrg,Charley,2617,6144,2827,4916,140
8ZryN_S-n48g6rsa3W3QtQ,Dani,2327,47100,39198,42421,328
UVUIi0q38pAvsfuEEppe0Q,Stephen,2419,3944,1019,2397,117
drrUNO_oPVFTCl0Piew-0Q,Rachel,1596,3443,1591,2335,157
1O638BDK_fWuxgTVJwff-A,Rob,2388,6072,2865,3757,170
RtGqdDBvvBCjcu5dUqwfzA,Shila,12390,9403,3405,2887,256
7dnh9OrD8LekBwvachGH5Q,Darrell,1660,2949,1593,1582,89
o2Or6xqxeWaE46tdzK0UGg,Lisa,2074,20526,11913,16522,647
QJI9OSEn6ujRCtrX06vs1w,J,1982,14163,6533,10043,293
NoOaVw8YAe4SlgWGLWMY8Q,Yan,1704,4411,1963,2736,146
PLOYtrCMUFPHQe2IbYAd5g,Joanna,2429,9960,5668,6589,164
JADdo9NEeO5Az9aOYbyvZA,Manda Bear,2027,15180,7732,12164,1242
eIa4QJXp5ZNmuFORnuPvDA,Ziyan,1995,3065,772,1225,232
oSN3M4_WKdlTsnpgqPDiBg,Steph,1775,11202,7787,9899,197
BOU25_BWQnLdFJBKUe2XdQ,M,2127,3251,2321,1091,82
mDBAmEsyxuVTTT70dK-dqA,Elsie,1689,3849,1880,2007,214
xxB5F6TJ4J1MlNufCdqz2Q,Monica,1925,5095,2399,3484,117
YMgZqBUAddmFErxLtCfK_w,Samantha,1789,5616,2103,3492,155
ouODopBKF3AqfCkuQEnrDg,Danan,1843,3553,743,1940,107
itXMelaTleEjLIFWCJtnwg,Christina,1620,8647,3248,4580,438
62GNFh5FySkA3MbrQmnqvg,Chad,2410,5240,2489,2364,150
LPTq2-fZ9_TsG5o8lAWCGg,Vicky,1669,6116,4041,4309,174
dHxvSPU6PZqX1LQRXajGDQ,Kimberly,1770,22054,9775,18329,248
5BpJEC8YVi80ecWT5CtlfQ,Jenny,2513,15936,10525,13068,379
PsF-A4zQ2n7o1SF6oUNjcw,Kymberli,1485,4982,2475,4336,52
jipgimnSNp3qdK2dKUQvBg,Cat,1626,17434,13073,15037,300
53bZ_EsXH71L7iFs5MP9_w,Cynthia,1988,6923,3635,4464,364
mGAgc73bhiO_xXvpLy2Org,Carol,1481,5476,2934,3823,173
3mNz5nQFTIBQm0oU5mBR0w,Michelangelo,2554,51259,38610,47476,1055
Bf87HcPERF9yiSjb2tQBqw,Kevin,1595,4024,3942,3565,205
d67zTET_2IuVoWcUU0aWaQ,Janet,2088,7846,3750,4474,198
4SJS_m-JXc0oASx6x5Mjkw,Min,2157,9595,6432,8128,331
zvQ7B3KZuFOX7pYLsOxhpA,Ramona,1798,43402,23855,36460,412
o4tYl3Hz0oDfpNn4k02DCw,Sandy,1614,18681,10596,14705,376
rcU7ysY41qGppbw4pQgjqg,Damien,1790,11976,11438,8672,815
mvK1pv-x0Z5rP4Hz9cWBWw,Betty,1642,30676,22159,26208,1098
fgwI3rYHOv1ipfVfCSx7pg,Emi,1690,37334,28125,32565,1698
ysCBsXWPB-LAiewVS3jZfQ,Jando,3517,22159,11031,15866,1462
UtmsHIyNNgeVZlm6CYLWjA,Sal,1663,2449,1027,1313,100
AbMjnKOwg736fcIu8apuyQ,Michael,2609,74326,57628,66321,1169
Eypq5gLLjCapBVVnMw_MyA,Misha,4075,3736,2065,2429,173
MurRkRS5aYaa1IfaRY20_Q,Denis,2028,4107,3176,3035,134
X8XtoFBoAiHrw3rZ4v8cRQ,Corey,1543,7812,4641,5580,122
gjhzKWsqCIrpEd9pevbKZw,Miriam,3148,19224,8003,15438,1152
Gfxb_D1k8tueAoGn4cseoA,Yuko,1472,24264,11518,24069,240
shVyD312LNnLUvQEPdzo7g,Alison,1788,2340,933,1589,63
ILvXe0EWKAH45eyUUxlv0g,Emily,2255,12637,8317,10203,319
4EkDs9ZvbnmwGhmm6bGH7A,Arnold,1618,1695,739,989,61
I2qJvA0tbGdZJ3XrwzwfzA,Randoll,1457,9140,5399,7350,208
j_orXueAYJBft-VUNbs1IA,Mark,1606,1977,654,785,75
I-FmdvI28N7OIIt4JZOgIg,Tiffany,2177,16823,9673,13939,545
cKJ0r01eF7E-tYp2FQOyRA,Michelle,1961,6811,2727,3938,226
Xwnf20FKuikiHcSpcEbpKQ,Kenneth,6738,7937,3447,4848,265
Vkj42md-5O3VoOD9pBg6Sw,Rick,1810,3714,1406,1733,134
XYSDrIef7g4Gmp3lNFVO6A,Neal,4551,14249,3301,9299,383
IzJ36jX6V6ky5BtoN-Agng,Chun,1519,12992,13495,11185,391
6EHbIv5w2I4XbXs3dG_D1Q,David,2008,9533,5264,6805,130
iCYMf_sHRevmzWg8la-LVw,Denise,2523,6855,3441,4370,164
WWnhqRnWWjutMqh-2SzEuQ,Steph,3379,21901,15788,17440,891
gqL5KBs2oS7qobnyd99iKg,Stacy,1638,25212,14223,21745,336
08mOpJRCpZe3D8UHszP4FA,Ann,3061,10852,2958,5743,415
jt49xjEjQisu6wTTGn6B3A,Annette,1563,13342,4491,8756,699
m5cBT7OYfn0HM0d-RCsdZQ,Miika,1707,9059,6281,7867,412
PcvbBOCOcs6_suRDH7TSTg,Juan,1631,31370,16676,30004,359
pD4c0eVE0ImAgcag4w4-lA,Pauline,1552,5729,4358,4556,190
0G-QF457q_0Z_jKqh6xWiA,Joi,1734,20649,11341,15120,805
CyAl5D-GjX-ZtqdQqG4_ew,Dave,1494,2193,959,1063,64
V5Th21KjUiYLJQyV-vGtpg,Ben H,1628,2134,1040,1296,54
QuZbJquRtbY9O9JrB9NpxQ,Jim,1668,10262,7632,7603,162
LWwmuZJjI4jeB95fQGbG0Q,Shalini,1692,5791,3327,4685,249
ot3m-jIwFMFFCMG1bkLZgQ,Ninette,1463,3655,1792,2237,134
ir689oBNmrJXOspb4yq_Jg,Kim,1810,2051,472,744,83
OgYi5x02MBukfxPNFe1ePg,Colleen,1516,10639,4277,6837,669
7JpPvfDAE_14vA1xgFOFjw,Maria,3253,24354,13711,19230,289
YRcaNlwQ6XXPFDXWtuMGdA,Chris,1897,3724,1662,1883,95
V-FI5ytm8ZAe8Lo6wdTdBg,Thuong,1511,9461,4462,6625,477
PKEzKWv_FktMm2mGPjwd0Q,Norm,2421,18768,7845,13334,283
dsX3MiQiTy3OVI8MKn0I4w,Andy,1674,10347,4708,7517,229
1HM81n6n4iPIFU5d2Lokhw,Shannon,1883,6609,2573,3260,113
CCaQxW7i9Xn6fa-XZdhn3g,Opal,1515,2051,591,588,54
bLbSNkLggFnqwNNzzq-Ijw,Stefany,4321,44667,22790,30846,641
lCmvpQfFpdxhbWVM59eUCg,Jocelyn,1711,1732,626,925,94
oeFiWvoOG0hpMOXXxblfyQ,Coty,1472,7463,3330,4032,301
AHRrG3T1gJpHvtpZ-K0G_g,Brittany,1878,12682,4841,8414,1268
WNbVCtfq2lGMEwLDXyyd6A,Heejin,1860,5820,3209,3829,385
o1_sfJ71nrq5QrF00v3Icw,Joe,1633,46512,38191,43356,482
8RcEwGrFIgkt9WQ35E6SnQ,George,7750,7973,3822,3143,282
5gbkhlWANGVzQYi_0m3vOQ,Jess,2541,8577,4968,5846,258
Hi10sGSZNxQH3NLyWSZ1oA,Fox,6407,89418,86122,82128,1574
37HswRimgBEf7_US-c3CDA,Adrienne,2395,22634,15412,20589,204
HGTdyEDygTqANThO64WDWQ,Steve,1856,2935,491,1637,68
a4mO387_O77ebmv8AlQB3A,Dave,2678,43324,21461,36081,305
ZpUI9ze0YlA6nMSHwx3ZYQ,Derek,2167,29132,15471,21886,513
nnwBdqGHIAJQ5QX9lHOtrQ,Hank,2743,5723,1707,2648,182
qgXcgfdrk5tzmLBq4_h6mQ,James,1914,11701,6238,8933,311
_cUtxCvCccwgNJzD5I0cDA,Kyle,1560,12488,8386,10515,261
ncIHRw4Vx3Wh9mZhLZxB7g,Mindy,1668,6865,3060,5109,143
W3Z5K5Ks4PJHo_RFexaqdA,Wendy,2100,20783,12169,16432,385
JnGtgOPpkjyWOvWM0SYEXg,Hen,3296,16502,9734,13634,415
w-w-k-QXosIKQ8HQVwU6IQ,Anthony,2741,36969,25191,31736,1004
ZBLZIOrO3DZJzDFlFO-bJw,Carlos,1628,5132,2141,3852,177
j5ezF5mEGpnDwdTmAHci7Q,Albert,1934,2095,801,1097,137
mlXIzLHZ2RAw3MMzpBsFlA,Jon,2165,8093,3624,5612,207
om5ZiponkpRqUNa3pVPiRg,Andrea,2619,16868,8658,12305,880
K7thO1n-vZ9PFYiC7nTR2w,Yelper,1478,10850,6421,8582,316
ELcQDlf69kb-ihJfxZyL0A,Brad,1642,3679,2183,1795,69
IwHLuykqqmGVNHJ_UCwXWg,Marqus,3597,25324,10566,16049,395
HFECrzYDpgbS5EmTBtj2zQ,Eric,5398,36902,20862,29941,410
YttDgOC9AlM4HcAlDsbB2A,Phil,3285,32849,22852,26901,701
UVxY0iyPaqY7s4BSFtt-xA,Wanugee,1935,20765,13171,17014,495
cuVrNmt7_WtBn1uz5L_p0g,Mike,1721,1622,994,637,68
-zuV9Du1HFHaQ6GnVyGWsQ,Katharine,1729,3894,988,1759,108
ncAOj5Xz-XS6bpSnTWp3tQ,Austin,1655,3495,1039,1847,147
4u8zZaT5m7nO1WazdKA2sw,Nino,2127,8488,7060,6258,131
d8KR5c1ievS0C53h4fhEeQ,Kevin,2016,5135,1798,2766,177
lLfcbYGTeVxQN5Ig0ompJg,Elena,2848,38088,24960,32983,546
1dQiuUvvK8427TBmqj_4Vg,Amy,2009,7564,3882,6421,152
uIBhZTxEdOw1FRVpSJ45mQ,Franklin,1856,1807,732,1169,76
9U30DANobkrn3Zlu6T9p6Q,Jeff,1530,1927,525,663,102
X_wC1rgLot5xYG1-fzEpaQ,Enrique,1535,8213,1521,4706,80
kW2dk1CWihmh3g7k9N2G8A,Shradha,2165,3492,862,1346,209
RkVNb4DpKwehS3FAziAMVA,Kelly,1690,2242,443,1207,54
ZIOCmdFaMIF56FR-nWr_2A,Randy,2622,31633,19268,25352,915
2l0O1EI1m0yWjFo2zSt71w,Shiho,2839,19016,9411,15074,472
re3AdczLFP4D7xwI6DkBNA,Vicky,2750,7364,5498,5660,141
DK57YibC5ShBmqQl97CKog,Karen,2340,34815,19182,30626,411
1P9BpFZ_d3PGCdytDTYJCw,Solomon,2581,4704,1555,2300,174
AX6_NL1_GTM2tcN9jn8mQw,Alice,1639,23925,15564,21892,257
mgytZAasaiBf-END4aZD9w,Cat,1468,27792,19627,23987,896
wzyGNvArcpUjZauRWFrKHA,Bill,2206,8958,5652,6065,270
Ggx8iUdJ7lsQSqXRuclXtg,Nadine,2160,64288,46157,63148,556
Um5bfs5DH6eizgjH3xZsvg,Dianna,2553,6307,3272,4531,147
f8W2Qv9QosVaP-dRQwLEyw,Schel,1803,19581,16666,17140,224
1wE7oHKgNOLPM0QWS3jm9w,Ed,1964,7045,2657,5879,114
OapLWhQI4_Gm32-nYbHmUA,Yee Gan,2298,24264,14011,19958,388
m07sy7eLtOjVdZ8oN9JKag,Ed,4400,51201,39114,44201,1780
kroQYWSj-BhIEXT4VwLRHA,David,1961,15467,10727,14023,218
MnYfi2DODiZkLIwJFuwB2g,Bill,1622,4602,1558,3084,140
cPcStFGBlk-6lWWsttIfVQ,Ee Vonn,1886,5868,2818,3170,197
cRswprTqOiV1riVO25EqIw,Keiko,1590,6120,2364,4266,146
EO1Cz15wYnHQ0aGc9T6tzw,Franco,2248,9940,5607,6190,204
wce0tudXf9BCeWhQRr0TiA,Darya,1894,7095,4173,5267,183
IyIsFkVY48JWa01inv-7zA,Rob,2318,5181,1952,3513,137
GaTWkVy-pY6phZOqW6ykuw,Pete,1500,6436,4454,4925,156
6tDMGnbO4m8ENlUvG7r0eA,Sean,1457,8012,5995,6939,158
Zl1fJNTzNULZiqBRShxUYA,John,2235,9895,7882,8444,213
A2N4y0VeZ-3TtmBVCSVVnQ,Demitri,1604,2132,757,1222,77
evDmfYHbxqDAy8_27bAUNg,Laura,1517,7035,4563,4913,239
JTVSbPB1EjjMu05JwWCP3A,Dan,1615,2023,418,675,65
pW9LvtC-hZ0PRAOUn7aZ2A,Matthew,2041,8274,2450,3580,188
Z88N6qly3Dp5C06XbZ9IMQ,Janice,2310,41674,35226,38412,625
Ryxj0u0AW3mRsRypdYli2A,Arnel,2229,5754,2063,4214,259
cMEtAiW60I5wE_vLfTxoJQ,Jennifer,4190,6669,2870,4792,183
OKX-V5j_qfuOebeHeWGrHg,Paul,1647,4762,1591,2578,250
5aCEquYmXUIsWmpUp1gqxA,Kathleen,1600,3008,1751,1886,76
npD9KeIpB7PX3OwBMxZ3EQ,Daisy,1504,3164,1438,2100,124
Ed20T0T3jkAqVBBiyXju6A,Jen,2046,2403,815,1116,93
2HchhLgGj16aITZGVy0hqA,Yi,2977,8195,4315,4585,360
5yGgNgkkNvsv6dYiA_whFw,Yonnie,2335,2078,1065,853,94
IhmBr-yHC8xLjdnoq7O37w,Amuse,2027,3241,1165,1100,91
_H1VvAk65d2z-2-XuLHkmw,Jackie,1462,1791,457,700,81
NIhcRW6DWvk1JQhDhXwgOQ,Lia,1921,9208,3144,5372,279
fdwVdy6TuY1kjYeEPMZKVw,Deb,1495,2589,734,1604,103
SUAFCKtkx8RrQ6EgJQIVrw,GT,1904,2967,1086,1425,84
TqXAebtAtO90ZmN_odc8mQ,Nora,2121,4592,1618,1892,77
ajMm_rBqbKYALu-I8-__Kg,Brian,1868,1771,830,845,69
tXhscxwFTd-ayLTdPx_2yA,Jonah,1556,1267,378,542,52
U-blmCm_qUbibUUgqDSB_g,Juan,2258,10403,6749,8111,188
es15UP55rfli8OTgYr7cZA,Mary,1697,1257,468,692,55
9akppeqi5dnaIqPyJ75aCw,Mimi,2330,6914,3744,4525,201
vXrUBAIN4aoCt7F5p0kU_g,Michelle,1980,3799,1559,2103,82
b_Z2vamgc15EzlHeW9t6yA,Susan,1921,2626,685,1030,113
0CKo5RHHoN6AI7vSMnKV_g,Timmy,1840,20886,16210,18032,233
gfyW0vuJls8ARoHmogfcmw,Marilyn,2003,3096,1231,1870,145
lvGlIBv4xkHiQBnNOuRYZQ,J,1815,2918,1206,1719,82
0dIvVs3PY64bE3PZF-8V8A,Lorraine,1674,3708,1461,2306,66
GcdYgbaF75vj7RO6EZhPOQ,Kathleen,1863,7499,3081,4968,195
l-tDF960t9BakjyH34XfTA,Tiffany,1799,3908,1855,2082,124
nx5-LzxIVXlQrKpWL_3PVQ,Mary,1502,2426,934,1060,91
8rzqG5NLuDlnqE49USzvTw,Keven,1473,1699,733,983,25
I9vkjKs1O5Ctf5gy0ry4yg,Brenda,2333,5017,1728,2835,139
AGraTma9eEgsiJFDIy6tbg,Maile,1484,1947,899,1410,84
ibZIMJ55dvoqag4_JrQ4sw,MaryLou,1659,5112,2172,3495,116
ybJkYYEBvFGVb-or4i9_oA,Rebecca,2277,4504,2256,2164,92
mVA4IeYyVKPUWRrN5oplMA,Nat,2130,3663,1342,2131,80
jpIGlAym6z88W2xzHiK5_A,Denise,2962,2771,869,1221,94
Xxvz5g67eaCr3emnkY5M6w,Jen,2164,4058,1388,1625,76
bQCHF5rn5lMI9c5kEwCaNA,Vincent,4070,10532,4055,7430,165
oW2bCSJ5bIHyRnoZvkHwDg,Uncle Fishbits Aeneas,1659,4025,2708,3214,150
Rx7DNBmPPShVjlcQidGuTw,Helen,2440,3236,557,1688,91
_BHTC7nyCBoZcfiiD5cOXg,Gourmet,2100,9808,5325,8608,239
2bHSZhM0huV8LRh3YHaOSQ,Jennifer,1767,4880,3609,4115,117
d_TBs6J3twMy9GChqUEXkg,Jennifer,1929,4427,2125,2783,90
IlGYj_XAMG3v75rfmtBs_Q,Dominik,2017,680,157,416,43
Ctrp5IoEKHkixDSIyYHDpw,Nick,1592,1577,570,749,35
Dfu-NuG1YWB96jjBLIlsrA,Krysten,1590,5422,2471,4342,98
xJpvRrk04rb4rgWtMXaPUQ,Kenny,3147,5498,3072,3236,285
D2epirooWNjvwTI6MFhNGw,Susy,1733,8958,7960,7229,547
tlY0QMQDyfjQAEwHnzvFnw,Ken,1690,3326,1528,1925,55
VYOQLKuR0Ugy9lU-QiOuLw,Realtor Karl,1976,1655,494,516,56
ic-tyi1jElL_umxZVh8KNA,Owen,1595,2001,607,1018,29
whINg-cC-FiAv_ATDGMDTg,PatrickJ,3057,16349,11147,13471,119
U13tLFucJNz1fNv_Xgdj0g,Mel,2010,1104,304,594,59
igaoaFNkX7ieMuyUBg0u5w,Leang,2096,2581,747,1285,86
hFJgRL0m1i1XFXVu7YxGTw,Jeremy,1534,2637,734,1318,115
VWJ8PSz6Sg5_AlBvQyGvpw,Mark,1514,2108,405,827,35
v-HcprOKPC1_F5_15t4JDw,Christopher,1764,3160,1211,2318,94
viwKpVVaOhWur77Sh4L4cw,Char,1608,1497,526,557,36
rv9d5TcnnxuOCX7ole_Clg,Jon,1681,2522,549,1847,70
UOM1TCOUqT2UD19p-yxWLA,Ai,2028,2655,1252,1494,98
i-DWCn1Xk5-exHi0mBDO1g,Esther,1600,2241,912,1255,119
9fe41Vmw245Eho1PghHHKw,Amy,1501,1721,634,806,60
fiGqQ7pIGKyZ9G0RqWLMpg,Margret,1530,2735,730,1255,62
4m9NXICYBC5i9t4aTt-I6w,Jason,1510,2160,549,1070,54
AQGMTHae70n3MnONotAuYQ,Kathy,1474,4629,1211,3154,130
eqwYJSlHsGYaotedCtdX0A,Justin,1738,1414,927,788,111
oqCtfkf3IcwLF7A5iLlxlQ,Andrea,1938,2068,645,1155,93
TwjiWvK0ZP15lzGC049oIQ,Darylynn,1914,1900,613,1044,109
rDqapmGz04gIUH-mecYrJQ,Nicole,1781,3383,885,1978,87
CiYRhDyFbsDbWR45uv822w,Fannie,1829,3112,1240,1914,79
hsu9lyXiAX5dQD4lLzYyyA,Fred,1524,6952,1625,2815,225
kw4Q3Qfj_8WxjTNExSi1hw,Lili,2517,2822,779,1336,147
3_VJtoQDyvvhIDhnNaaL_A,Stefan,1738,1898,480,1170,25
hN03Wim4nDQ-824277aEsQ,Tyler,1601,2034,673,1158,30
kLm3B6LeboEZWX_4otpILA,Izzat,1471,715,171,219,25
ZRnsUs9q6DbeJbOLjCY4ZA,Kent,2239,864,186,339,39
UE-rXhA8njNnADFkDA3EuA,Inigo,2474,1700,910,635,62
uIZWBUF9ovbXWG2dVJ6Zfw,Joe,1875,1437,499,809,73
cKTA-iJbfrioKWFiDreghw,Tammy,1494,2325,779,1608,56
iwkoNii9w7LK2tNQJ6UCug,Joyce,1741,866,168,265,31
nl8gWLDo6U6MjqzbBmE_9A,Vivian,1618,2801,712,983,146
SqVUNVeYJblyoUz4e-Fiqw,Joseph,1537,2505,446,1071,68
3UIa8YVjETNwJwnOl4SEdg,Vic,2665,7999,3657,4608,180
qmVXmbchh1V-PYSpvWU_rw,Adam,1640,810,530,279,36
TmljCl6px9_1D-V1dEUR-w,Alf,1693,631,239,217,11
-3s52C4zL_DHRK0ULG6qtg,Sara,1663,1550,458,343,53
Ug0ujy9-jd0Oc2nk3KIotA,Messer,2200,7292,5010,5383,190
kS1MQHYwIfD0462PE61IBw,Rob,4888,12127,4051,7924,422
-shHTy1CEmSMPVSehdASaw,Doctor,1862,1654,401,409,26
PkNs-Rw6MHQfu6j5pBZMMw,Maria,2963,14043,7765,11653,596
iLjMdZi0Tm7DQxX1C1_2dg,Ruggy,2411,35029,27768,28591,2383
ET8n-r7glWYqZhuR6GcdNw,Michelle,1928,21797,7046,13936,1031
s3kRi7b8t2sdtYcsMbqlJA,Jboogie,2331,1502,379,498,48
LMPWMy_kvHjlUzVQ_9jz6A,Dung,1874,8399,3971,6752,359
Q3q6jppP-2bYL-jRna_FSg,Monica,1876,3412,1258,1379,95
baY9cJBx7oprSZNKA3BIHA,Shay,1516,3454,1537,2251,162
yh8_9Ix1wp9dekvyOZbilQ,Christina,2086,24999,15878,22194,1004
WPl2gULxrrh_GoypMzHF-A,P,1595,5811,2720,3345,242
IucvvxdQXXhjQ4z6Or6Nrw,Sunil,4710,4410,2008,2697,115
3zxy3LVBV3ttxoYbY4rQ8A,Farrah,1753,22789,10369,14958,1495
o5STsEtfvD1Ig0J7Z-1uxA,Alex,1709,26874,14002,21771,961
Dxdev0VPVFpNLvrpKzu8SQ,Elaine,1749,15165,9098,13714,476
POAKZScwldLTMCtvezW5mA,Lisa,1725,3606,1112,1515,157
ypm9IB9iZkwY71FKkYeLkg,Angela,1697,6784,3213,4564,195
E_GAXhVA1_lVC2aFpMQElA,Alden,3752,12563,5967,8652,258
NVei24-9k5GIZNRR1xGcRQ,Tom,1801,5363,2222,2711,95
wEE-YMx5pmSuagLtNxMPKA,Stephanie,1697,29618,15738,21274,1530
SDytcPY5fiuuDbTkPE8GyA,Pinky And The,1467,9334,4585,7193,195
SsgDGJWBNvefjY0z8XsVCQ,Kislev,1848,6255,3824,4966,136
gf4tyQgQOtVMkOdvveRHVA,Henry,1507,2870,1385,1710,62
ODsM6-_BvHt6-cqNylJn7g,Benny,1578,8291,5111,6440,151
VHdY6oG2JPVNjihWhOooAQ,Jessica,1905,38562,25121,36760,1964
UsXqCXRZwSCSw0AT7y1uBg,Candice,2816,47055,39914,38957,2123
DS0Idr2XDhz5e7ZfSy0dYA,Ken,1498,15466,13199,12639,814
nj3syiLs3lABLtPVyL0ivA,Javier,1994,11671,10226,9802,332
Pf7FI0OukC_CEcCz0ZxoUw,Don,2344,26580,16218,18668,947
s8nkbQAlrVPfg1u4anGKtw,Kelly,1558,16754,10232,12028,699
Y6XH1iNsuuGAcO5nODI6rg,Michael,1880,4762,2520,3355,166
sOhv5LHFsyf8t1JpgnocMQ,Denise,1769,4739,2269,4254,106
yrWJ4YZWvFj_NDOvTRaAqA,Jessie,1642,1612,849,995,100
