name,review_count,useful,cluster
Ramona,1798,43402,b
Sandy,1614,18681,c
Damien,1790,11976,a
Betty,1642,30676,c
Emi,1690,37334,b
Sal,1663,2449,a
Michael,2609,74326,b
Denis,2028,4107,a
Corey,1543,7812,a
Yuko,1472,24264,c
Alison,1788,2340,a
Emily,2255,12637,c
Arnold,1618,1695,a
Randoll,1457,9140,a
Mark,1606,1977,a
Tiffany,2177,16823,c
Michelle,1961,6811,a
Rick,1810,3714,a
Chun,1519,12992,c
David,2008,9533,a
Denise,2523,36855,b
Stacy,1638,25212,c
Ann,3061,10852,a
Annette,1563,13342,c
Miika,1707,9059,a
Juan,1631,31370,c
Pauline,1552,5729,a
Joi,1734,20649,c
Dave,1494,2193,a
Ben H,1628,2134,a
Jim,1668,10262,a
Shalini,1692,5791,a
Ninette,1463,3655,a
Kim,1810,2051,a
Colleen,1516,10639,a
Chris,1897,3724,a
Thuong,1511,9461,a
Norm,2421,18768,c
Andy,1674,10347,a
Shannon,1883,6609,a
Opal,1515,2051,a
Jocelyn,1711,1732,a
Coty,1472,7463,a
Brittany,1878,12682,c
Heejin,1860,5820,a
Joe,1633,46512,b
Jess,2541,8577,a
Adrienne,2395,22634,c
Steve,1856,2935,a
Dave,2678,43324,b
Derek,2167,29132,c
Hank,2743,5723,a
James,1914,11701,a
Kyle,1560,12488,c
Mindy,1668,6865,a
Wendy,2100,20783,c
Anthony,2741,36969,b
Carlos,1628,5132,a
Albert,1934,2095,a
Jon,2165,8093,a
Andrea,2619,16868,c
Yelper,1478,10850,a
Brad,1642,3679,a
Wanugee,1935,20765,c
Mike,1721,1622,a
Katharine,1729,3894,a
Austin,1655,3495,a
Nino,2127,8488,a
Kevin,2016,5135,a
Elena,2848,38088,b
Amy,2009,7564,a
Franklin,1856,1807,a
Jeff,1530,1927,a
Enrique,1535,8213,a
Shradha,2165,3492,a
Kelly,1690,2242,a
Randy,2622,31633,c
Shiho,2839,29016,c
Vicky,2750,7364,a
Karen,2340,34815,b
Solomon,2581,4704,a
Alice,1639,23925,c
Cat,1468,27792,c
Bill,2206,8958,a
Nadine,2160,64288,b
Dianna,2553,6307,a
Schel,1803,19581,c
Ed,1964,7045,a
Yee Gan,2298,24264,c
David,1961,15467,c
Bill,1622,4602,a
Ee Vonn,1886,5868,a
Keiko,1590,6120,a
Franco,2248,9940,a
Darya,1894,7095,a
Rob,2318,5181,a
Pete,1500,6436,a
Sean,1457,8012,a
John,2235,9895,a
Demitri,1604,2132,a
Laura,1517,7035,a
Dan,1615,2023,a
Matthew,2041,8274,a
Janice,2310,41674,b
Arnel,2229,5754,a
Paul,1647,4762,a
Kathleen,1600,3008,a
Daisy,1504,3164,a
Jen,2046,2403,a
Yi,2977,38195,b
Yonnie,2335,2078,a
Amuse,2027,3241,a
Jackie,1462,1791,a
Lia,1921,9208,a
Deb,1495,2589,a
GT,1904,2967,a
Nora,2121,4592,a
Brian,1868,1771,a
Jonah,1556,1267,a
Juan,2258,10403,a
Mary,1697,1257,a
Mimi,2330,6914,a
Michelle,1980,3799,a
Susan,1921,2626,a
Timmy,1840,20886,c
Marilyn,2003,3096,a
J,1815,2918,a
Lorraine,1674,3708,a
Kathleen,1863,7499,a
Tiffany,1799,3908,a
Mary,1502,2426,a
Keven,1473,1699,a
Brenda,2333,5017,a
Maile,1484,1947,a
MaryLou,1659,5112,a
Rebecca,2277,4504,a
Nat,2130,3663,a
Denise,2962,2771,a
Jen,2164,4058,a
Uncle Fishbits Aeneas,1659,4025,a
Helen,2440,3236,a
Gourmet,2100,9808,a
Jennifer,1767,4880,a
Jennifer,1929,4427,a
Dominik,2017,680,a
Nick,1592,1577,a
Krysten,1590,5422,a
Susy,1733,8958,a
Ken,1690,3326,a
Realtor Karl,1976,1655,a
Owen,1595,2001,a
PatrickJ,3057,16349,c
Mel,2010,1104,a
Leang,2096,2581,a
Jeremy,1534,2637,a
Mark,1514,2108,a
Christopher,1764,3160,a
Char,1608,1497,a
Jon,1681,2522,a
Ai,2028,2655,a
Esther,1600,2241,a
Amy,1501,1721,a
Margret,1530,2735,a
Jason,1510,2160,a
Kathy,1474,4629,a
Justin,1738,1414,a
Andrea,1938,2068,a
Darylynn,1914,1900,a
Nicole,1781,3383,a
Fannie,1829,3112,a
Fred,1524,6952,a
Lili,2517,2822,a
Stefan,1738,1898,a
Tyler,1601,2034,a
Izzat,1471,715,a
Kent,2239,864,a
Inigo,2474,1700,a
Joe,1875,1437,a
Tammy,1494,2325,a
Joyce,1741,866,a
Vivian,1618,2801,a
Joseph,1537,2505,a
Vic,2665,7999,a
Adam,1640,810,a
Alf,1693,631,a
Sara,1663,1550,a
Messer,2200,7292,a
Doctor,1862,1654,a
Maria,2963,14043,c
Ruggy,2411,35029,b
Michelle,1928,21797,c
Jboogie,2331,1502,a
Dung,1874,8399,a
Monica,1876,3412,a
Shay,1516,3454,a
Christina,2086,24999,c
P,1595,5811,a
Farrah,1753,22789,c
Alex,1709,26874,c
Elaine,1749,15165,c
Lisa,1725,3606,a
Angela,1697,6784,a
Tom,1801,5363,a
Stephanie,1697,29618,c
Pinky And The,1467,9334,a
Kislev,1848,6255,a
Henry,1507,2870,a
Benny,1578,8291,a
Jessica,2200,38562,b
Candice,2816,47055,b
Ken,1498,15466,c
Javier,1994,11671,a
Don,2344,26580,c
Kelly,1558,16754,c
Michael,1880,4762,a
Denise,1769,4739,a
Jessie,1642,1612,a
Kathleen,1627,13268,c
Kent,1647,3880,a
Rhea,2067,8472,a
Andrew,1671,7800,a
Angela,1831,5394,a
Brittany,1590,31196,c
Char,1555,3907,a
Ryan,1544,18600,c
Erika,2032,6683,a
Reed,1685,2716,a
Jean,1608,3063,a
Jaimee,1601,6881,a
Anthony,1523,19108,c
Juan,1506,1286,a
Pasquale,1613,6600,a
William,1680,23904,c
Jen,2382,11571,a
Meg,2020,10174,a
Jeff,1775,6401,a
Stephanie,1574,3828,a
Allie,2057,6102,a
Maruko,2280,11400,a
Cat,1513,7435,a
Alan,1464,1681,a
Eric,2685,3533,a
Rebekah,2085,14484,c
Anne Explores LA,1650,5807,a
Marlon,2589,4128,a
Daniel,1587,2634,a
Christopher,1618,3696,a
Danny,1501,8173,a
Matt,2201,5462,a
Nicole,1618,2659,a
Janet,2393,19417,c
Daren,1725,5275,a
Jenn,1629,4351,a
MICHELLE,2250,19482,c
Sean,3038,39933,b
Heiko,1788,17520,c
Boon,1940,13196,c
Mika,2023,3507,a
Fancypants,2014,14177,c
Mike,1503,5867,a
Ryna,1496,1246,a
Dan,2321,16886,c
Maria,1585,6938,a
Diana,1561,4378,a
Ericka,1554,9145,a
JoseLuis,1486,4480,a
Jacob,2555,10060,a
Louis,2044,8149,a
Ticha,1703,5332,a
Alexandra,1985,4791,a
Fatty,1863,1758,a
Andy,1887,1836,a
Sophia,1465,2695,a
Retired,1461,2491,a
Cheri,1557,5329,a
Francine,1781,10205,a
Sheri,1991,3086,a
Amy,1799,4161,a
Maximillian,2205,847,a
Jen,1462,2907,a
Aaron,1699,52398,b
Toni,2441,33708,b
Jennifer,1782,2521,a
Isabel,1500,4306,a
Ry,1627,4007,a
Christopher,1544,1930,a
Jen,1927,14144,c
William,1583,30578,c
Cassie,1658,3356,a
Kristy,1514,2916,a
William,1561,2448,a
Roger,1776,1100,a
Linda,1651,1187,a
Joshua,1481,1670,a
Chris,1648,2323,a
Dee,1576,2951,a
Cherie,1865,4708,a
Gab,1475,1691,a
J,1610,633,a
Brian,1745,2603,a
Walter,1650,6890,a
Asuka,1566,2118,a
Sarah,2638,37788,b
Carmen,2661,7060,a
Amber,1604,4801,a
Nicole,1596,5029,a
Trina,2179,21002,c
Nick,1461,5415,a
Jordan,2079,6319,a
Ted,1687,2548,a
Athena,1588,2865,a
Christopher Steven,1696,1917,a
Conor,1554,1468,a
Sarah,1552,2399,a
Natasha,1505,3179,a
Jim,1504,2825,a
Vince,1645,7748,a
Nic,1692,3694,a
Ro,2216,5390,a
Jelena,1805,17319,c
Colleen,2770,33675,b
Laura,1864,12430,c
Andre,1710,6938,a
Jen,1481,5782,a
Lolia,2415,40300,b
Sarah,1647,5263,a
Naomi,1878,2708,a
Stephanie,1489,2973,a
Bryan,1531,4627,a
Ronald,2142,3177,a
Shaji,1521,2029,a
Courtney,2000,4703,a
Richard,1458,1992,a
Gail,1485,4550,a
Matt,1690,2255,a
Ma-e,1474,1068,a
O M,1812,3155,a
Dennis,1580,6079,a
Mary Kate,1920,12143,c
Andrew,1469,6115,a
J,1482,1219,a
Marcus,2170,9113,a
Alexis,2101,3422,a
Edward,2433,3170,a
Jane,1827,5221,a
Richard,1735,1660,a
Donna,1504,1556,a
Joan,1678,19634,c
Vivian,1948,11881,a
Mike,1634,19715,c
Sadri,2238,8392,a
John L.,1818,11460,a
John,1525,12335,c
Chrysanthemum,1748,20331,c
Mark,1634,5301,a
Brian,1998,45970,b
Sean,1660,2949,a
Lolo,2035,10176,a
Amy,2158,38943,b
Jessica,1518,1810,a
Tom,1474,1805,a
Ruth,2326,14297,c
Óscar,1930,3690,a
Hideo,2006,6049,a
Libby,1469,8456,a
Gloria,1490,3917,a
Nick,1591,5205,a
Matze,2815,3130,a
